Word Part-Of-Speech Frequency
cooperating J 540.0
off-duty J 510.0
top-tier J 198.0
byword N 76.0
sawn J 27.0
loosely R 3024.0
whisper V 16630.0
premade J 112.0
isinglass N 32.0
outrageously R 353.0
maneuverable J 159.0
deary N 21.0
kind R 32936.0
sidelight N 78.0
miscarry V 220.0
bourbon N 1799.0
bible-study J 25.0
hatred N 4677.0
scottish J 2547.0
caftan N 167.0
scrutiny N 5306.0
reflex N 1530.0
mafioso N 78.0
daze N 541.0
beat-up J 102.0
grab-bag N 20.0
trig N 107.0
bacteriophage N 57.0
commanding J 2110.0
conversely R 2468.0
terrorized J 41.0
crackle V 1350.0
thai J 2304.0
township N 2293.0
zoster N 38.0
keepsake N 274.0
no-wake J 28.0
paint V 25367.0
cluck V 509.0
video V 735.0
corner V 937.0
gerrymandered J 21.0
mythic J 1130.0
dreadlocked J 59.0
mailman N 636.0
commandingly R 31.0
restroom N 1274.0
mixed-race J 313.0
editor N 44587.0
madder N 52.0
well-written J 289.0
piagetian J 61.0
tongue N 12650.0
modest-sized J 37.0
pimento N 87.0
shimmery J 221.0
sesame N 2006.0
lupine N 230.0
high-current J 25.0
cataclysm N 295.0
accretion N 554.0
epiglottis N 65.0
satiric J 197.0
